127.0.0.1 - - [21/Jun/2020:05:59:26 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Jun/2020:05:59:29 +0530] "GET /project/Ephomepage.html HTTP/1.1" 200 1476
0:0:0:0:0:0:0:1 - - [21/Jun/2020:05:59:29 +0530] "GET /project/samyak.jpg HTTP/1.1" 200 13120
0:0:0:0:0:0:0:1 - - [21/Jun/2020:05:59:29 +0530] "GET /project/navigation.css HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [21/Jun/2020:05:59:29 +0530] "GET /project/z.jpg HTTP/1.1" 200 8667
0:0:0:0:0:0:0:1 - - [21/Jun/2020:05:59:29 +0530] "GET /project/techfeet.jpg HTTP/1.1" 200 13090
0:0:0:0:0:0:0:1 - - [21/Jun/2020:05:59:29 +0530] "GET /project/femflare.jpg HTTP/1.1" 200 11209
0:0:0:0:0:0:0:1 - - [21/Jun/2020:05:59:29 +0530] "GET /project/images.jpg HTTP/1.1" 200 8378
0:0:0:0:0:0:0:1 - - [21/Jun/2020:05:59:45 +0530] "GET /project/samyak.html HTTP/1.1" 200 4113
0:0:0:0:0:0:0:1 - - [21/Jun/2020:05:59:45 +0530] "GET /project/venkat.jpg HTTP/1.1" 200 6343
0:0:0:0:0:0:0:1 - - [21/Jun/2020:05:59:45 +0530] "GET /project/hari.jpg HTTP/1.1" 200 42497
0:0:0:0:0:0:0:1 - - [21/Jun/2020:05:59:50 +0530] "GET /project/samyakvideo.mp4 HTTP/1.1" 206 81003688
0:0:0:0:0:0:0:1 - - [21/Jun/2020:05:59:50 +0530] "GET /project/samyakvideo.mp4 HTTP/1.1" 206 81003688
0:0:0:0:0:0:0:1 - - [21/Jun/2020:05:59:53 +0530] "GET /project/samyakvideo.mp4 HTTP/1.1" 206 74245288
0:0:0:0:0:0:0:1 - - [21/Jun/2020:05:59:53 +0530] "GET /project/samyakvideo.mp4 HTTP/1.1" 206 74245288
0:0:0:0:0:0:0:1 - - [21/Jun/2020:06:00:06 +0530] "GET /project/teamleaderlogin.html HTTP/1.1" 200 997
0:0:0:0:0:0:0:1 - - [21/Jun/2020:06:00:08 +0530] "GET /project/bg-01.jpg HTTP/1.1" 200 176839
0:0:0:0:0:0:0:1 - - [21/Jun/2020:06:00:15 +0530] "GET /project/samyakvideo.mp4 HTTP/1.1" 206 81003688
0:0:0:0:0:0:0:1 - - [21/Jun/2020:06:00:19 +0530] "GET /project/teammemberlogin.html HTTP/1.1" 200 1130
